Získané dáta po spustení programu saveData.py.

Time(ms), PixelValue
13000.00, [ 49  82 111]
13016.67, [ 49  82 111]
13033.33, [ 49  82 111]
13050.00, [ 49  82 111]
13066.67, [ 49  82 111]
13083.33, [ 49  82 111]
13100.00, [ 49  82 111]
13116.67, [ 49  82 111]
13133.33, [ 49  83 110]
13150.00, [ 49  83 110]
13166.67, [ 49  83 110]
13183.33, [ 49  83 110]
13200.00, [ 49  83 110]
13216.67, [ 49  83 110]
13233.33, [ 49  83 110]
13250.00, [ 49  83 110]
13266.67, [ 49  83 110]
13283.33, [ 49  83 110]
13300.00, [ 49  83 110]
13316.67, [ 49  83 110]
13333.33, [ 49  83 110]
13350.00, [ 49  83 110]
13366.67, [ 49  83 110]
13383.33, [ 49  83 110]
13400.00, [ 49  83 110]
13416.67, [ 49  83 110]
13433.33, [ 49  83 110]
13450.00, [ 49  83 110]
13466.67, [ 49  83 110]
13483.33, [ 49  83 110]
13500.00, [ 49  83 110]
13516.67, [ 49  82 111]
13533.33, [ 49  81 113]
13550.00, [ 49  81 113]
13566.67, [ 49  81 113]
13583.33, [ 49  81 113]
13600.00, [ 51  81 113]
13616.67, [ 51  81 113]
13633.33, [ 51  82 111]
13650.00, [ 51  82 111]
13666.67, [ 49  82 111]
13683.33, [ 49  83 110]
13700.00, [ 49  83 110]
13716.67, [ 49  83 110]
13733.33, [ 49  83 110]
13750.00, [ 49  83 110]
13766.67, [ 49  83 110]
13783.33, [ 49  83 110]
13800.00, [ 50  84 111]
13816.67, [ 49  83 110]
13833.33, [ 49  83 110]
13850.00, [ 49  83 110]
13866.67, [ 49  83 110]
13883.33, [ 49  83 110]
13900.00, [ 49  83 110]
13916.67, [ 49  82 111]
13933.33, [ 49  82 111]
13950.00, [ 49  82 111]
13966.67, [ 49  82 111]
13983.33, [ 49  82 111]
14000.00, [ 48  81 110]
14016.67, [ 48  81 110]
14033.33, [ 48  81 110]
14050.00, [ 49  82 111]
14066.67, [ 49  82 111]
14083.33, [ 49  82 111]
14100.00, [ 49  82 111]
